Date : 2023-03-08 22:29:34
Directory : /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi
Total : 270 files,  30643 codes, 1145 comments, 1872 blanks, all 33660 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/helper                                                                                                                                                                                          |          5 |        616 |         27 |         58 |        701 |
| lib/models                                                                                                                                                                                          |         19 |      1,919 |         12 |        248 |      2,179 |
| lib/utiles                                                                                                                                                                                          |          3 |        188 |          7 |         16 |        211 |
| lib/views                                                                                                                                                                                           |        178 |     24,920 |        840 |      1,359 |     27,119 |
| lib/views/add_your_info                                                                                                                                                                             |          1 |        314 |          2 |         10 |        326 |
| lib/views/allViews                                                                                                                                                                                  |          1 |        120 |          0 |          8 |        128 |
| lib/views/calling_module.dart                                                                                                                                                                       |         16 |      1,667 |         47 |        148 |      1,862 |
| lib/views/calling_module.dart/constants                                                                                                                                                             |          1 |         20 |          0 |          2 |         22 |
| lib/views/calling_module.dart/enum                                                                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| lib/views/calling_module.dart/screens                                                                                                                                                               |          1 |        247 |         20 |         23 |        290 |
| lib/views/calling_module.dart/utils                                                                                                                                                                 |          5 |        219 |         11 |         36 |        266 |
| lib/views/calling_module.dart/widgets                                                                                                                                                               |          8 |      1,180 |         16 |         86 |      1,282 |
| lib/views/calling_module.dart/widgets/common                                                                                                                                                        |          6 |        794 |          9 |         63 |        866 |
| lib/views/calling_module.dart/widgets/common/joining                                                                                                                                                |          1 |         27 |          0 |          3 |         30 |
| lib/views/calling_module.dart/widgets/common/meeting_controls                                                                                                                                       |          1 |        187 |          6 |         14 |        207 |
| lib/views/calling_module.dart/widgets/common/participant                                                                                                                                            |          2 |        192 |          1 |         21 |        214 |
| lib/views/calling_module.dart/widgets/common/stats                                                                                                                                                  |          2 |        388 |          2 |         25 |        415 |
| lib/views/calling_module.dart/widgets/one-to-one                                                                                                                                                    |          2 |        386 |          7 |         23 |        416 |
| lib/views/chats                                                                                                                                                                                     |         13 |      1,621 |         67 |        126 |      1,814 |
| lib/views/chats/models                                                                                                                                                                              |          1 |         74 |          0 |         14 |         88 |
| lib/views/chats/services                                                                                                                                                                            |          1 |        138 |          2 |         18 |        158 |
| lib/views/chats/views                                                                                                                                                                               |          3 |        514 |          9 |         36 |        559 |
| lib/views/chats/widget                                                                                                                                                                              |          8 |        895 |         56 |         58 |      1,009 |
| lib/views/confirm_order                                                                                                                                                                             |          6 |      1,174 |          9 |         50 |      1,233 |
| lib/views/confirm_order (Files)                                                                                                                                                                     |          3 |        666 |          0 |         22 |        688 |
| lib/views/confirm_order/widgets                                                                                                                                                                     |          3 |        508 |          9 |         28 |        545 |
| lib/views/explore                                                                                                                                                                                   |         14 |      2,263 |        101 |        127 |      2,491 |
| lib/views/explore (Files)                                                                                                                                                                           |          2 |        519 |          2 |         30 |        551 |
| lib/views/explore/widgets                                                                                                                                                                           |         12 |      1,744 |         99 |         97 |      1,940 |
| lib/views/explore/widgets (Files)                                                                                                                                                                   |          2 |        490 |         26 |         40 |        556 |
| lib/views/explore/widgets/filters                                                                                                                                                                   |         10 |      1,254 |         73 |         57 |      1,384 |
| lib/views/explore/widgets/filters (Files)                                                                                                                                                           |          1 |        202 |         10 |          7 |        219 |
| lib/views/explore/widgets/filters/widgets                                                                                                                                                           |          9 |      1,052 |         63 |         50 |      1,165 |
| lib/views/exploreDetails                                                                                                                                                                            |         28 |      4,137 |        239 |        230 |      4,606 |
| lib/views/exploreDetails (Files)                                                                                                                                                                    |          1 |        658 |         25 |         18 |        701 |
| lib/views/exploreDetails/report_listing                                                                                                                                                             |         13 |      2,418 |          0 |        145 |      2,563 |
| lib/views/exploreDetails/report_listing (Files)                                                                                                                                                     |          6 |        922 |          0 |         42 |        964 |
| lib/views/exploreDetails/report_listing/offensive                                                                                                                                                   |          3 |        318 |          0 |         15 |        333 |
| lib/views/exploreDetails/report_listing/why_scam                                                                                                                                                    |          4 |      1,178 |          0 |         88 |      1,266 |
| lib/views/exploreDetails/widgets                                                                                                                                                                    |         14 |      1,061 |        214 |         67 |      1,342 |
| lib/views/feedback                                                                                                                                                                                  |          1 |        102 |          0 |          6 |        108 |
| lib/views/hosting                                                                                                                                                                                   |         47 |      6,320 |        123 |        319 |      6,762 |
| lib/views/hosting/all_views                                                                                                                                                                         |          1 |         86 |          0 |          6 |         92 |
| lib/views/hosting/calendar                                                                                                                                                                          |          1 |        315 |         36 |         27 |        378 |
| lib/views/hosting/choose_cancellation_policy                                                                                                                                                        |          1 |        208 |          7 |          4 |        219 |
| lib/views/hosting/house_rules                                                                                                                                                                       |          2 |        439 |          9 |         27 |        475 |
| lib/views/hosting/inbox                                                                                                                                                                             |          2 |         52 |          0 |          7 |         59 |
| lib/views/hosting/insights                                                                                                                                                                          |          5 |        286 |          7 |         17 |        310 |
| lib/views/hosting/insights (Files)                                                                                                                                                                  |          2 |        103 |          7 |          9 |        119 |
| lib/views/hosting/insights/widgets                                                                                                                                                                  |          3 |        183 |          0 |          8 |        191 |
| lib/views/hosting/instant_booking                                                                                                                                                                   |          1 |        286 |          2 |         11 |        299 |
| lib/views/hosting/listing_status_booking_settings                                                                                                                                                   |         28 |      3,494 |         61 |        189 |      3,744 |
| lib/views/hosting/listing_status_booking_settings (Files)                                                                                                                                           |          3 |        142 |          0 |         11 |        153 |
| lib/views/hosting/listing_status_booking_settings/booking_settings                                                                                                                                  |         13 |      1,332 |         41 |         76 |      1,449 |
| lib/views/hosting/listing_status_booking_settings/booking_settings (Files)                                                                                                                          |          7 |        774 |         20 |         36 |        830 |
| lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings                                                                                                             |          6 |        558 |         21 |         40 |        619 |
| lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings (Files)                                                                                                     |          2 |        237 |         10 |         19 |        266 |
| lib/views/hosting/listing_status_booking_settings/booking_settings/availablity_settings/widgets                                                                                                     |          4 |        321 |         11 |         21 |        353 |
| lib/views/hosting/listing_status_booking_settings/listing_detail                                                                                                                                    |         10 |      1,445 |          5 |         77 |      1,527 |
| lib/views/hosting/listing_status_booking_settings/tabs                                                                                                                                              |          2 |        575 |         15 |         25 |        615 |
| lib/views/hosting/menu                                                                                                                                                                              |          2 |        370 |          0 |         10 |        380 |
| lib/views/hosting/menu (Files)                                                                                                                                                                      |          1 |        218 |          0 |          5 |        223 |
| lib/views/hosting/menu/widgets                                                                                                                                                                      |          1 |        152 |          0 |          5 |        157 |
| lib/views/hosting/notifications                                                                                                                                                                     |          1 |         54 |          0 |          3 |         57 |
| lib/views/hosting/promote_listing                                                                                                                                                                   |          1 |        266 |          0 |          9 |        275 |
| lib/views/hosting/set_up_your_callender                                                                                                                                                             |          1 |        213 |          0 |          4 |        217 |
| lib/views/hosting/today                                                                                                                                                                             |          1 |        251 |          1 |          5 |        257 |
| lib/views/image_view.dart                                                                                                                                                                           |          1 |         51 |          0 |          5 |         56 |
| lib/views/inbox                                                                                                                                                                                     |          3 |        180 |         20 |         17 |        217 |
| lib/views/inbox (Files)                                                                                                                                                                             |          2 |        180 |          4 |         15 |        199 |
| lib/views/inbox/model                                                                                                                                                                               |          1 |          0 |         16 |          2 |         18 |
| lib/views/list_your_space                                                                                                                                                                           |          3 |        247 |          0 |         11 |        258 |
| lib/views/listing_posting                                                                                                                                                                           |         24 |      3,547 |        121 |        163 |      3,831 |
| lib/views/listing_posting (Files)                                                                                                                                                                   |         21 |      2,988 |        112 |        149 |      3,249 |
| lib/views/listing_posting/widgets                                                                                                                                                                   |          3 |        559 |          9 |         14 |        582 |
| lib/views/login                                                                                                                                                                                     |          3 |        705 |         23 |         23 |        751 |
| lib/views/profile                                                                                                                                                                                   |          8 |      1,530 |         23 |         56 |      1,609 |
| lib/views/profile (Files)                                                                                                                                                                           |          5 |        775 |          8 |         32 |        815 |
| lib/views/profile/notifications                                                                                                                                                                     |          1 |        572 |         11 |         15 |        598 |
| lib/views/profile/translation_view                                                                                                                                                                  |          1 |        102 |          3 |          5 |        110 |
| lib/views/profile/widgets                                                                                                                                                                           |          1 |         81 |          1 |          4 |         86 |
| lib/views/profile_update                                                                                                                                                                            |          3 |        465 |         42 |         34 |        541 |
| lib/views/profile_update (Files)                                                                                                                                                                    |          2 |        386 |         42 |         29 |        457 |
| lib/views/profile_update/widgets                                                                                                                                                                    |          1 |         79 |          0 |          5 |         84 |
| lib/views/trips                                                                                                                                                                                     |          3 |        247 |         23 |         12 |        282 |
| lib/views/whishlists                                                                                                                                                                                |          3 |        230 |          0 |         14 |        244 |
| test                                                                                                                                                                                                |          1 |          8 |         15 |          7 |         30 |
| web                                                                                                                                                                                                 |          2 |         72 |         16 |          7 |         95 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/AppIcons-Klomi/Assets.xcassets/AppIcon.appiconset/Contents.json                                                            | JSON       |          1 |          0 |          0 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/Assets.xcassets/AppIcon.appiconset/Contents.json                                                                           | JSON       |          1 |          0 |          0 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/README.md                                                                                                                  | Markdown   |          1 |          0 |          0 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/analysis_options.yaml                                                                                                      | YAML       |          3 |         23 |          4 |         30 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/build.gradle                                                                                                   | Groovy     |         67 |          3 |         14 |         84 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/google-services.json                                                                                           | JSON       |         54 |          0 |          0 |         54 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/debug/AndroidManifest.xml                                                                                  | XML        |          4 |          4 |          1 |          9 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/AndroidManifest.xml                                                                                   | XML        |         64 |          7 |          7 |         78 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/drawable-v21/launch_background.xml                                                                | XML        |          4 |          7 |          2 |         13 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/drawable/launch_background.xml                                                                    | XML        |          4 |          7 |          2 |         13 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/values-night/styles.xml                                                                           | XML        |          9 |          9 |          1 |         19 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/values/strings.xml                                                                                | XML        |          7 |          0 |          0 |          7 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/main/res/values/styles.xml                                                                                 | XML        |          9 |          9 |          1 |         19 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/app/src/profile/AndroidManifest.xml                                                                                | XML        |          4 |          4 |          1 |          9 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/build.gradle                                                                                                       | Groovy     |         27 |          0 |          5 |         32 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/gradle.properties                                                                                                  | Properties |          3 |          0 |          1 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/gradle/wrapper/gradle-wrapper.properties                                                                           | Properties |          5 |          0 |          1 |          6 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/key.properties                                                                                                     | Properties |          4 |          0 |          0 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/android/settings.gradle                                                                                                    | Groovy     |          8 |          0 |          4 |         12 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_chat.svg                                                                                                         | XML        |          3 |          0 |          1 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_chevron_down.svg                                                                                                 | XML        |          3 |          0 |          1 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_end.svg                                                                                                          | XML        |         12 |          0 |          1 |         13 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_leave.svg                                                                                                        | XML        |         11 |          0 |          1 |         12 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_participants.svg                                                                                                 | XML        |          8 |          0 |          1 |          9 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_recording.svg                                                                                                    | XML        |          9 |          0 |          1 |         10 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_screen_share.svg                                                                                                 | XML        |          8 |          0 |          1 |          9 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_switch_camera.svg                                                                                                | XML        |          4 |          0 |          1 |          5 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_video.svg                                                                                                        | XML        |          8 |          0 |          1 |          9 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/ic_video_off.svg                                                                                                    | XML        |         10 |          0 |          1 |         11 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/joining_lottie.json                                                                                                 | JSON       |          1 |          0 |          0 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/languages/en-US.json                                                                                                | JSON       |        710 |          0 |          0 |        710 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/languages/fr-FR.json                                                                                                | JSON       |        710 |          0 |          0 |        710 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/recording_lottie.json                                                                                               | JSON       |          1 |          0 |          0 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/AppDelegate.swift                                                                                               | Swift      |         14 |          0 |          3 |         17 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                                | JSON       |          1 |          0 |          0 |          1 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                                              | XML        |         36 |          1 |          1 |         38 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Base.lproj/Main.storyboard                                                                                      | XML        |         25 |          1 |          1 |         27 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Runner-Bridging-Header.h                                                                                        | C++        |          1 |          0 |          1 |          2 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/firebase_app_id_file.json                                                                                              | JSON       |          7 |          0 |          0 |          7 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/klomi_klomi.iml                                                                                                      | XML        |         18 |          0 |          0 |         18 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/api_call/fcm_api.dart                                                                                                  | Dart       |        122 |          5 |          8 |        135 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/ad_apply_controller.dart                                                                                   | Dart       |         44 |          0 |          4 |         48 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/adpost_controller.dart                                                                                     | Dart       |        184 |         12 |         16 |        212 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/authentication_controller.dart                                                                             | Dart       |          9 |          0 |          6 |         15 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/general_controller.dart                                                                                    | Dart       |         55 |          0 |          8 |         63 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/colors.dart                                                                                                  | Dart       |          2 |          0 |          2 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/firebsae_keys.dart                                                                                           | Dart       |          1 |          0 |          1 |          2 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/image_path.dart                                                                                              | Dart       |         59 |          8 |          4 |         71 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/text_styles.dart                                                                                             | Dart       |         42 |          0 |          3 |         45 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/demo.dart                                                                                                              | Dart       |         38 |         11 |          6 |         55 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/ad_listing_status.dart                                                                                           | Dart       |          1 |          0 |          1 |          2 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/best_describe_your_place_enum.dart                                                                               | Dart       |         24 |          0 |          1 |         25 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/gender.dart                                                                                                      | Dart       |          1 |          1 |          2 |          4 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/message_status.dart                                                                                              | Dart       |          5 |          0 |          1 |          6 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/firebase_options.dart                                                                                                  | Dart       |         55 |         29 |          5 |         89 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/global_widgets/dvider.dart                                                                                             | Dart       |         12 |          0 |          3 |         15 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/global_widgets/empty_space_widget.dart                                                                                 | Dart       |         37 |          0 |          6 |         43 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/global_widgets/selectable_dropdown_global_widget.dart                                                                  | Dart       |         89 |          0 |          6 |         95 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/app_toast.dart                                                                                                  | Dart       |         16 |          0 |          2 |         18 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/authentication_helper.dart                                                                                      | Dart       |        466 |         26 |         41 |        533 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/date_time_helper.dart                                                                                           | Dart       |         17 |          0 |          2 |         19 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/in_app_notification_helper.dart                                                                                 | Dart       |         16 |          0 |          4 |         20 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/main_helper.dart                                                                                                | Dart       |        101 |          1 |          9 |        111 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/main.dart                                                                                                              | Dart       |        162 |         10 |         17 |        189 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/active_ad.dart                                                                                                  | Dart       |         47 |          1 |         12 |         60 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/additional_chargers.dart                                                                                        | Dart       |         59 |          0 |         13 |         72 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/animities.dart                                                                                                  | Dart       |         97 |          0 |         12 |        109 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/availbility_settings.dart                                                                                       | Dart       |         76 |          0 |         13 |         89 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/describe_your_castle_mode.dart                                                                                  | Dart       |         82 |          1 |         11 |         94 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/explore_model.dart                                                                                              | Dart       |        368 |          1 |         15 |        384 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/host_model.dart                                                                                                 | Dart       |        130 |          1 |         15 |        146 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/host_setting.dart                                                                                               | Dart       |         67 |          0 |         13 |         80 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/house_rules_model.dart                                                                                          | Dart       |        143 |          1 |         25 |        169 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/offers.dart                                                                                                     | Dart       |         37 |          1 |         11 |         49 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/reviews.dart                                                                                                    | Dart       |         59 |          1 |         10 |         70 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/safty_alarm_items.dart                                                                                          | Dart       |         66 |          1 |         11 |         78 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/scnic_views.dart                                                                                                | Dart       |        177 |          0 |         13 |        190 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/services.dart                                                                                                   | Dart       |         47 |          1 |         11 |         59 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/standout_animities_model.dart                                                                                   | Dart       |        154 |          1 |         11 |        166 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/trip_length.dart                                                                                                | Dart       |         82 |          0 |         13 |         95 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/user.dart                                                                                                       | Dart       |        139 |          1 |         15 |        155 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/wifi_model.dart                                                                                                 | Dart       |         44 |          0 |         13 |         57 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/wish_list_model.dart                                                                                            | Dart       |         45 |          1 |         11 |         57 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/splash_screen.dart                                                                                                     | Dart       |          0 |         47 |          5 |         52 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/themepallete.dart                                                                                                      | Dart       |         18 |          0 |          2 |         20 |
| /Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/utiles/kyes.dart                                                                                                       | Dart       |         32 |          0 |          2 |         34 |
